iter	Passed	Remaining
400	20951	31296
401	20985	31217
402	21022	31142
403	21057	31064
404	21091	30986
405	21129	30913
406	21163	30835
407	21199	30759
408	21231	30679
409	21264	30600
410	21300	30525
411	21337	30452
412	21371	30374
413	21407	30301
414	21442	30225
415	21477	30150
416	21509	30072
417	21540	29991
418	21571	29911
419	21603	29834
420	21634	29754
421	21665	29674
422	21691	29588
423	21718	29504
424	21753	29431
425	21783	29352
426	21814	29273
427	21848	29198
428	21878	29119
429	21912	29046
430	21945	28972
431	21980	28900
432	22014	28827
433	22050	28757
434	22080	28679
435	22112	28604
436	22146	28531
437	22178	28457
438	22211	28384
439	22244	28311
440	22278	28239
441	22310	28165
442	22341	28091
443	22374	28018
444	22407	27946
445	22442	27877
446	22478	27808
447	22515	27741
448	22551	27674
449	22601	27624
450	22645	27566
451	22698	27519
452	22744	27463
453	22779	27395
454	22818	27332
455	22865	27278
456	22903	27213
457	22942	27150
458	22989	27097
459	23037	27043
460	23079	26984
461	23115	26918
462	23157	26858
463	23201	26801
464	23246	26746
465	23287	26685
466	23325	26621
467	23371	26568
468	23414	26509
469	23463	26458
470	23505	26400
471	23539	26332
472	23574	26265
473	23603	26193
474	23633	26121
475	23664	26051
476	23698	25983
477	23736	25921
478	23771	25855
479	23803	25787
480	23830	25713
481	23858	25640
482	23892	25574
483	23926	25508
484	23960	25442
485	23995	25378
486	24029	25312
487	24065	25248
488	24097	25182
489	24133	25118
490	24168	25054
491	24201	24988
492	24232	24920
493	24263	24853
494	24296	24787
495	24327	24719
496	24357	24651
497	24390	24586
498	24425	24523
499	24457	24457
500	24490	24393
501	24521	24326
502	24553	24260
503	24588	24198
504	24626	24139
505	24660	24075
506	24697	24015
507	24732	23953
508	24767	23891
509	24802	23829
510	24842	23773
511	24881	23714
512	24915	23652
513	24948	23589
514	24985	23529
515	25023	23471
516	25056	23408
517	25092	23348
518	25122	23283
519	25158	23223
520	25192	23161
521	25225	23098
522	25258	23036
523	25290	22973
524	25323	22911
525	25359	22852
526	25395	22793
527	25428	22731
528	25462	22671
529	25493	22607
530	25527	22546
531	25564	22489
532	25601	22431
533	25644	22379
534	25690	22329
535	25723	22268
536	25759	22209
537	25796	22152
538	25832	22094
539	25875	22041
540	25922	21993
541	25969	21944
542	26014	21894
543	26055	21841
544	26099	21789
545	26147	21741
546	26187	21686
547	26232	21636
548	26279	21588
549	26324	21537
550	26365	21485
551	26410	21434
552	26452	21382
553	26495	21330
554	26533	21274
555	26566	21214
556	26601	21157
557	26635	21098
558	26671	21041
559	26710	20986
560	26746	20929
561	26780	20871
562	26814	20813
563	26853	20758
564	26887	20700
565	26920	20642
566	26955	20585
567	26990	20527
568	27023	20469
569	27056	20410
570	27086	20350
571	27121	20294
572	27152	20233
573	27186	20176
574	27218	20118
575	27253	20061
576	27286	20003
577	27317	19944
578	27349	19886
579	27383	19829
580	27415	19771
581	27441	19709
582	27472	19650
583	27501	19590
584	27532	19531
585	27565	19474
586	27594	19414
587	27623	19355
588	27660	19301
589	27700	19249
590	27729	19190
591	27760	19132
592	27794	19076
593	27827	19019
594	27861	18964
595	27893	18907
596	27930	18854
597	27966	18800
598	28003	18746
599	28042	18695
600	28077	18640
601	28115	18587
602	28152	18534
603	28189	18481
604	28227	18429
605	28261	18374
606	28295	18320
607	28337	18270
608	28373	18216
609	28414	18166
610	28455	18116
611	28496	18066
612	28538	18016
613	28583	17969
614	28627	17921
615	28668	17871
616	28707	17820
617	28750	17771
618	28790	17720
619	28838	17675
620	28886	17629
621	28927	17579
622	28966	17528
623	29002	17475
624	29042	17425
625	29089	17379
626	29127	17327
627	29168	17278
628	29208	17228
629	29249	17178
630	29289	17127
631	29335	17081
632	29374	17030
633	29420	16983
634	29450	16928
635	29483	16874
636	29516	16819
637	29551	16767
638	29586	16714
639	29619	16660
640	29653	16607
641	29692	16557
642	29727	16504
643	29758	16450
644	29790	16396
645	29827	16344
646	29861	16292
647	29895	16239
648	29931	16187
649	29965	16135
650	30002	16084
651	30037	16032
652	30073	15981
653	30110	15929
654	30147	15879
655	30180	15826
656	30212	15773
657	30250	15723
658	30284	15670
659	30321	15620
660	30362	15571
661	30401	15522
662	30437	15471
663	30473	15420
664	30512	15370
665	30548	15319
666	30580	15267
667	30617	15217
668	30653	15166
669	30690	15116
670	30726	15065
671	30759	15013
672	30794	14962
673	30836	14914
674	30880	14868
675	30934	14826
676	30980	14781
677	31035	14739
678	31075	14690
679	31120	14644
680	31163	14598
681	31213	14553
682	31253	14505
683	31290	14455
684	31327	14406
685	31364	14356
686	31403	14307
687	31441	14258
688	31477	14208
689	31513	14158
690	31554	14110
691	31607	14067
692	31656	14024
693	31694	13974
694	31732	13925
695	31770	13876
696	31808	13827
697	31845	13778
698	31888	13731
699	31931	13684
700	31967	13635
701	32007	13587
702	32046	13538
703	32084	13490
704	32122	13441
705	32162	13393
706	32203	13346
707	32246	13299
708	32286	13251
709	32332	13206
710	32369	13157
711	32405	13107
712	32439	13057
713	32471	13006
714	32501	12954
715	32532	12904
716	32578	12858
717	32625	12813
718	32667	12767
719	32714	12722
720	32755	12675
721	32807	12632
722	32842	12582
723	32885	12536
724	32932	12491
725	32987	12449
726	33027	12402
727	33071	12356
728	33106	12307
729	33143	12258
730	33179	12209
731	33215	12160
732	33251	12111
733	33286	12062
734	33322	12014
735	33360	11966
736	33393	11916
737	33433	11869
738	33462	11818
739	33491	11767
740	33517	11715
741	33545	11663
742	33576	11613
743	33605	11563
744	33634	11512
745	33663	11462
746	33696	11412
747	33726	11362
748	33758	11312
749	33792	11264
750	33828	11216
751	33858	11166
752	33900	11120
753	33935	11071
754	33971	11023
755	34008	10976
756	34044	10928
757	34082	10881
758	34121	10834
759	34161	10787
760	34207	10743
761	34269	10703
762	34328	10662
763	34382	10620
764	34433	10577
765	34501	10539
766	34550	10495
767	34595	10450
768	34644	10406
769	34697	10364
770	34741	10318
771	34794	10276
772	34842	10232
773	34887	10186
774	34930	10141
775	34980	10097
776	35024	10052
777	35072	10007
778	35124	9964
779	35165	9918
780	35205	9871
781	35244	9825
782	35284	9778
783	35329	9733
784	35373	9688
785	35410	9641
786	35444	9592
787	35478	9544
788	35515	9497
789	35554	9451
790	35584	9402
791	35615	9353
792	35647	9305
793	35681	9257
794	35715	9209
795	35749	9162
796	35786	9114
797	35825	9068
798	35861	9021
799	35897	8974
800	35939	8928
801	35976	8881
802	36008	8833
803	36042	8786
804	36073	8738
805	36111	8691
806	36149	8645
807	36185	8598
808	36219	8551
809	36255	8504
810	36290	8457
811	36326	8410
812	36369	8365
813	36405	8318
814	36439	8271
815	36474	8224
816	36510	8177
817	36545	8131
818	36583	8085
819	36618	8038
820	36656	7992
821	36691	7945
822	36725	7898
823	36763	7852
824	36802	7806
825	36835	7759
826	36868	7712
827	36903	7666
828	36939	7619
829	36974	7572
830	37011	7527
831	37046	7480
832	37084	7434
833	37121	7388
834	37158	7342
835	37200	7297
836	37239	7252
837	37273	7205
838	37329	7163
839	37375	7119
840	37423	7075
841	37460	7029
842	37505	6985
843	37556	6941
844	37598	6896
845	37642	6852
846	37682	6806
847	37720	6761
848	37760	6715
849	37803	6671
850	37855	6627
851	37900	6583
852	37939	6538
853	37981	6493
854	38023	6448
855	38065	6403
856	38106	6358
857	38145	6313
858	38185	6267
859	38229	6223
860	38278	6179
861	38321	6134
862	38369	6091
863	38413	6046
864	38454	6001
865	38495	5956
866	38535	5911
867	38577	5866
868	38618	5821
869	38655	5776
870	38698	5731
871	38780	5692
872	38855	5652
873	39071	5632
874	39158	5594
875	39247	5555
876	39321	5514
877	39402	5475
878	39480	5434
879	39552	5393
880	39618	5351
881	39668	5307
882	39723	5263
883	39775	5219
884	39849	5178
885	39901	5134
886	39969	5091
887	40015	5046
888	40071	5003
889	40113	4957
890	40170	4914
891	40243	4872
892	40308	4829
893	40358	4785
894	40432	4743
895	40895	4746
896	41321	4744
897	41929	4762
898	42180	4738
899	42242	4693
900	42341	4652
901	42492	4616
902	42560	4571
903	42648	4529
904	42727	4485
905	42804	4441
906	42878	4396
907	42964	4353
908	43063	4311
909	43139	4266
910	43199	4220
911	43264	4174
912	43319	4127
913	43368	4080
914	43422	4033
915	43479	3987
916	43522	3939
917	43565	3891
918	43603	3843
919	43640	3794
920	43681	3746
921	43719	3698
922	43761	3650
923	43798	3602
924	43848	3555
925	43906	3508
926	43976	3463
927	44063	3418
928	44116	3371
929	44456	3346
930	44547	3301
931	44613	3255
932	44676	3208
933	44738	3161
934	44825	3116
935	44956	3073
936	45038	3028
937	45090	2980
938	45147	2932
939	45199	2885
940	45263	2837
941	45321	2790
942	45377	2742
943	45426	2694
944	45511	2648
945	45571	2601
946	45626	2553
947	45686	2506
948	45736	2457
949	45790	2410
950	45846	2362
951	45912	2314
952	45961	2266
953	46031	2219
954	46088	2171
955	46135	2123
956	46183	2075
957	46231	2026
958	46280	1978
959	46325	1930
960	46372	1881
961	46425	1833
962	46473	1785
963	46519	1737
964	46573	1689
965	46627	1641
966	46672	1592
967	46714	1544
968	46763	1496
969	46800	1447
970	46839	1398
971	46880	1350
972	46920	1302
973	46967	1253
974	47007	1205
975	47045	1156
976	47087	1108
977	47129	1060
978	47171	1011
979	47213	963
980	47252	915
981	47295	866
982	47335	818
983	47381	770
984	47427	722
985	47470	674
986	47509	625
987	47545	577
988	47584	529
989	47624	481
990	47665	432
991	47716	384
992	47763	336
993	47906	289
994	48040	241
995	48158	193
996	48217	145
997	48275	96
998	48320	48
999	48381	0
